Measurement,Frequency,Gain
1,99500000,-59.6909188824085
2,99501000,-59.6560513111511
3,99502000,-59.6211139650238
4,99503000,-59.5861065634803
5,99504000,-59.5510288242771
6,99505000,-59.5158804634633
7,99506000,-59.4806611953646
8,99507000,-59.4453707325684
9,99508000,-59.4100087859134
10,99509000,-59.3745750644714
11,99510000,-59.3390692755343
12,99511000,-59.3034911246009
13,99512000,-59.2678403153598
14,99513000,-59.2321165496773
15,99514000,-59.1963195275792
16,99515000,-59.1604489472386
17,99516000,-59.1245045049591
18,99517000,-59.0884858951593
19,99518000,-59.0523928103574
20,99519000,-59.0162249411562
21,99520000,-58.9799819762251
22,99521000,-58.9436636022867
23,99522000,-58.9072695040977
24,99523000,-58.8707993644356
25,99524000,-58.8342528640781
26,99525000,-58.7976296817908
27,99526000,-58.7609294943057
28,99527000,-58.724151976308
29,99528000,-58.6872968004161
30,99529000,-58.6503636371649
31,99530000,-58.6133521549888
32,99531000,-58.5762620202027
33,99532000,-58.5390928969845
34,99533000,-58.5018444473563
35,99534000,-58.4645163311662
36,99535000,-58.4271082060708
37,99536000,-58.3896197275141
38,99537000,-58.3520505487098
39,99538000,-58.3144003206213
40,99539000,-58.276668691944
41,99540000,-58.2388553090824
42,99541000,-58.2009598161334
43,99542000,-58.1629818548637
44,99543000,-58.1249210646909
45,99544000,-58.0867770826623
46,99545000,-58.0485495434349
47,99546000,-58.0102380792526
48,99547000,-57.9718423199265
49,99548000,-57.9333618928133
50,99549000,-57.8947964227921
51,99550000,-57.8561455322446
52,99551000,-57.817408841031
53,99552000,-57.7785859664682
54,99553000,-57.7396765233075
55,99554000,-57.7006801237106
56,99555000,-57.6615963772279
57,99556000,-57.6224248907724
58,99557000,-57.5831652685995
59,99558000,-57.5438171122793
60,99559000,-57.5043800206744
61,99560000,-57.4648535899159
62,99561000,-57.4252374133763
63,99562000,-57.3855310816459
64,99563000,-57.3457341825071
65,99564000,-57.3058463009087
66,99565000,-57.265867018939
67,99566000,-57.2257959158006
68,99567000,-57.1856325677838
69,99568000,-57.145376548239
70,99569000,-57.1050274275486
71,99570000,-57.0645847731022
72,99571000,-57.0240481492657
73,99572000,-56.9834171173545
74,99573000,-56.9426912356051
75,99574000,-56.9018700591457
76,99575000,-56.8609531399674
77,99576000,-56.8199400268946
78,99577000,-56.7788302655539
79,99578000,-56.737623398346
80,99579000,-56.6963189644131
81,99580000,-56.6549164996094
82,99581000,-56.6134155364677
83,99582000,-56.5718156041705
84,99583000,-56.5301162285155
85,99584000,-56.4883169318844
86,99585000,-56.4464172332084
87,99586000,-56.4044166479381
88,99587000,-56.3623146880056
89,99588000,-56.3201108617939
90,99589000,-56.2778046741005
91,99590000,-56.2353956261033
92,99591000,-56.192883215325
93,99592000,-56.150266935596
94,99593000,-56.1075462770207
95,99594000,-56.064720725939
96,99595000,-56.0217897648901
97,99596000,-55.9787528725732
98,99597000,-55.9356095238121
99,99598000,-55.8923591895143
100,99599000,-55.8490013366331
101,99600000,-55.8055354281285
102,99601000,-55.7619609229254
103,99602000,-55.7182772758753
104,99603000,-55.6744839377141
105,99604000,-55.6305803550204
106,99605000,-55.5865659701742
107,99606000,-55.542440221314
108,99607000,-55.4982025422925
109,99608000,-55.4538523626356
110,99609000,-55.4093891074949
111,99610000,-55.3648121976062
112,99611000,-55.3201210492419
113,99612000,-55.2753150741648
114,99613000,-55.2303936795831
115,99614000,-55.1853562681026
116,99615000,-55.1402022376783
117,99616000,-55.0949309815672
118,99617000,-55.0495418882779
119,99618000,-55.0040343415222
120,99619000,-54.9584077201644
121,99620000,-54.9126613981693
122,99621000,-54.8667947445523
123,99622000,-54.8208071233255
124,99623000,-54.7746978934457
125,99624000,-54.72846640876
126,99625000,-54.6821120179522
127,99626000,-54.635634064487
128,99627000,-54.5890318865532
129,99628000,-54.5423048170095
130,99629000,-54.4954521833253
131,99630000,-54.4484733075214
132,99631000,-54.4013675061144
133,99632000,-54.354134090053
134,99633000,-54.3067723646612
135,99634000,-54.2592816295736
136,99635000,-54.2116611786753
137,99636000,-54.1639103000374
138,99637000,-54.1160282758542
139,99638000,-54.0680143823771
140,99639000,-54.0198678898505
141,99640000,-53.9715880624426
142,99641000,-53.9231741581802
143,99642000,-53.8746254288787
144,99643000,-53.8259411200742
145,99644000,-53.7771204709508
146,99645000,-53.7281627142706
147,99646000,-53.6790670763006
148,99647000,-53.6298327767389
149,99648000,-53.5804590286422
150,99649000,-53.5309450383467
151,99650000,-53.4812900053951
152,99651000,-53.4314931224558
153,99652000,-53.3815535752457
154,99653000,-53.3314705424493
155,99654000,-53.2812431956381
156,99655000,-53.2308706991877
157,99656000,-53.1803522101954
158,99657000,-53.1296868783927
159,99658000,-53.0788738460625
160,99659000,-53.02791224795
161,99660000,-52.9768012111747
162,99661000,-52.9255398551396
163,99662000,-52.8741272914413
164,99663000,-52.8225626237756
165,99664000,-52.7708449478472
166,99665000,-52.7189733512701
167,99666000,-52.6669469134721
168,99667000,-52.614764705599
169,99668000,-52.5624257904123
170,99669000,-52.5099292221885
171,99670000,-52.4572740466163
172,99671000,-52.4044593006934
173,99672000,-52.3514840126205
174,99673000,-52.2983472016908
175,99674000,-52.2450478781862
176,99675000,-52.1915850432616
177,99676000,-52.1379576888346
178,99677000,-52.0841647974713
179,99678000,-52.0302053422694
180,99679000,-51.9760782867421
181,99680000,-51.9217825846952
182,99681000,-51.8673171801096
183,99682000,-51.8126810070143
184,99683000,-51.7578729893632
185,99684000,-51.7028920409069
186,99685000,-51.6477370650622
187,99686000,-51.5924069547835
188,99687000,-51.5369005924265
189,99688000,-51.4812168496139
190,99689000,-51.4253545870965
191,99690000,-51.3693126546153
192,99691000,-51.3130898907558
193,99692000,-51.2566851228056
194,99693000,-51.2000971666071
195,99694000,-51.1433248264079
196,99695000,-51.0863668947084
197,99696000,-51.0292221521083
198,99697000,-50.9718893671492
199,99698000,-50.9143672961554
200,99699000,-50.85665468307
201,99700000,-50.7987502592935
202,99701000,-50.7406527435131
203,99702000,-50.6823608415344
204,99703000,-50.6238732461049
205,99704000,-50.5651886367435
206,99705000,-50.5063056795536
207,99706000,-50.4472230270496
208,99707000,-50.3879393179637
209,99708000,-50.3284531770615
210,99709000,-50.2687632149507
211,99710000,-50.2088680278845
212,99711000,-50.1487661975619
213,99712000,-50.0884562909296
214,99713000,-50.0279368599735
215,99714000,-49.9672064415103
216,99715000,-49.9062635569778
217,99716000,-49.8451067122127
218,99717000,-49.783734397237
219,99718000,-49.7221450860278
220,99719000,-49.6603372362953
221,99720000,-49.5983092892458
222,99721000,-49.5360596693481
223,99722000,-49.4735867840905
224,99723000,-49.4108890237407
225,99724000,-49.3479647610904
226,99725000,-49.2848123512063
227,99726000,-49.2214301311703
228,99727000,-49.1578164198142
229,99728000,-49.0939695174548
230,99729000,-49.0298877056197
231,99730000,-48.9655692467694
232,99731000,-48.9010123840133
233,99732000,-48.836215340823
234,99733000,-48.7711763207375
235,99734000,-48.7058935070636
236,99735000,-48.6403650625717
237,99736000,-48.5745891291853
238,99737000,-48.5085638276636
239,99738000,-48.4422872572786
240,99739000,-48.3757574954866
241,99740000,-48.3089725975951
242,99741000,-48.241930596418
243,99742000,-48.1746295019302
244,99743000,-48.1070673009092
245,99744000,-48.0392419565769
246,99745000,-47.9711514082291
247,99746000,-47.9027935708592
248,99747000,-47.8341663347742
249,99748000,-47.7652675652052
250,99749000,-47.6960951019051
251,99750000,-47.6266467587457
252,99751000,-47.5569203232994
253,99752000,-47.4869135564174
254,99753000,-47.4166241917965
255,99754000,-47.3460499355411
256,99755000,-47.2751884657076
257,99756000,-47.2040374318519
258,99757000,-47.1325944545568
259,99758000,-47.0608571249568
260,99759000,-46.9888230042462
261,99760000,-46.9164896231859
262,99761000,-46.8438544815914
263,99762000,-46.7709150478139
264,99763000,-46.6976687582108
265,99764000,-46.6241130166061
266,99765000,-46.5502451937344
267,99766000,-46.4760626266784
268,99767000,-46.4015626182919
269,99768000,-46.3267424366094
270,99769000,-46.251599314247
271,99770000,-46.1761304477834
272,99771000,-46.1003329971364
273,99772000,-46.0242040849169
274,99773000,-45.9477407957751
